Rollouts,Reward,Samples,Timesteps,Alpha
200,-546.9296687935854,100,200000,1
400,-383.1937458891272,100,400000,1
600,-189.77475261495218,100,600000,1
800,-378.7639916055627,100,800000,1
1000,36.725461651512646,100,1000000,1
1200,38.676656398995235,100,1200000,1
1400,263.18211523239694,100,1400000,1
1600,373.66979910913494,100,1600000,1
1800,519.7575941361674,100,1800000,1
2000,358.8206980865351,100,2000000,1
2200,328.45788448054134,100,2200000,1
2400,546.6816299009587,100,2400000,1
2600,641.1093252699402,100,2600000,1
2800,618.6048987653835,100,2800000,1
3000,801.7970484218729,100,3000000,1
3200,864.0461937152488,100,3200000,1
3400,989.09851957532,100,3400000,1
3600,1015.7294513243615,100,3600000,1
3800,938.6788648267121,100,3800000,1
4000,1077.2577082518303,100,4000000,1
4200,1218.147592326826,100,4200000,1
4400,1185.9383629906738,100,4400000,1
4600,1184.3685096149004,100,4600000,1
4800,1387.5952168840256,100,4800000,1
5000,1492.7634245488623,100,5000000,1
5200,1490.2606358490327,100,5200000,1
5400,1380.4530969313025,100,5400000,1
5600,1468.1737410768585,100,5600000,1
5800,1370.2296073625691,100,5800000,1
6000,1478.8585505504668,100,6000000,1
6200,1628.5255296222917,100,6200000,1
6400,1639.7268413411286,100,6400000,1
6600,1606.989680706692,100,6600000,1
6800,1596.958749497124,100,6800000,1
7000,1767.7254111563714,100,7000000,1
7200,1667.1203056753566,100,7200000,1
7400,1743.5722357736863,100,7400000,1
7600,1707.4220767910404,100,7600000,1
7800,1715.7585666142952,100,7800000,1
8000,1715.9668214942342,100,8000000,1
8200,1615.9104869222147,100,8200000,1
8400,1635.4809100331104,100,8400000,1
8600,1731.4375242479373,100,8600000,1
8800,1657.9147268037343,100,8800000,1
9000,1641.3358466319055,100,9000000,1
9200,1585.1817268958964,100,9200000,1
9400,1556.4132860358322,100,9400000,1
9600,1655.756277878618,100,9600000,1
9800,1693.8776399855785,100,9800000,1
10000,1810.94442712442,100,10000000,1
10200,1869.642481228493,100,10200000,1
10400,1912.2686795976995,100,10400000,1
10600,1853.048018704742,100,10600000,1
10800,1807.8128513972354,100,10800000,1
11000,1748.1953919901446,100,11000000,1
11200,1763.0877884639349,100,11200000,1
11400,1754.792071909163,100,11400000,1
11600,1809.741699141383,100,11600000,1
11800,1809.7140268172093,100,11800000,1
12000,1834.0408514222877,100,12000000,1
12200,1749.4766140965412,100,12200000,1
12400,1737.9019295101605,100,12400000,1
12600,1806.5164779044844,100,12600000,1
12800,1767.0979441649229,100,12800000,1
13000,1801.8536110012692,100,13000000,1
13200,1804.274452114289,100,13200000,1
13400,1810.4222230231164,100,13400000,1
13600,1830.2552192929502,100,13600000,1
13800,1819.458309813526,100,13800000,1
14000,1871.2642305823854,100,14000000,1
14200,1974.9925444916503,100,14200000,1
14400,1996.8769711645543,100,14400000,1
