Rollouts,Learning Rate,Reward,Samples,Timesteps
0,4.76837158203125e-07,-14.390197625912094,0,0
64,4.76837158203125e-07,35.08552173282438,32,66000
128,4.76837158203125e-07,35.70356228604865,32,138000
192,4.76837158203125e-07,36.490553240521514,32,216000
256,4.76837158203125e-07,37.59133542411734,32,282000
320,4.76837158203125e-07,38.45113384263388,32,351000
384,4.76837158203125e-07,39.00640787797379,32,418000
448,4.76837158203125e-07,39.08410789996277,32,485000
512,4.76837158203125e-07,41.377606034189625,32,555000
576,4.76837158203125e-07,47.36032973094892,32,621000
640,4.76837158203125e-07,48.275312753741304,32,710000
704,4.76837158203125e-07,52.5558128542367,32,783000
768,4.76837158203125e-07,52.772139010283,32,894000
832,4.76837158203125e-07,54.119806541710204,32,1002000
896,4.76837158203125e-07,122.39189166582081,32,1068000
960,4.76837158203125e-07,128.15374152169437,32,1136000
1024,4.76837158203125e-07,133.36786529619937,32,1203000
1088,4.76837158203125e-07,134.5246571493082,32,1272000
1152,4.76837158203125e-07,135.09924900186945,32,1346000
1216,4.76837158203125e-07,140.22179102319095,32,1413000
1280,4.76837158203125e-07,157.0081705095988,32,1483000
1344,4.76837158203125e-07,158.90443239249302,32,1550000
1408,4.76837158203125e-07,202.92481483048732,32,1616000
1472,4.76837158203125e-07,248.5376394996393,32,1683000
1536,4.76837158203125e-07,252.4942926320537,32,1753000
1600,4.76837158203125e-07,253.69240723759248,32,1824000
1664,4.76837158203125e-07,259.4828139219402,32,1896000
1728,4.76837158203125e-07,263.81750045858104,32,1967000
1792,4.76837158203125e-07,284.4946925213675,32,2034000
1856,4.76837158203125e-07,288.2097690654619,32,2101000
1920,4.76837158203125e-07,290.05100223076255,32,2186000
1984,4.76837158203125e-07,290.649333735699,32,2263000
2048,4.76837158203125e-07,291.5775486285481,32,2352000
2112,4.76837158203125e-07,287.796808079817,32,2485000
2176,4.76837158203125e-07,288.6608723885287,32,2556000
2240,4.76837158203125e-07,288.9058554061382,32,2661000
2304,4.76837158203125e-07,289.024957709832,32,2730000
2368,4.76837158203125e-07,307.676442748232,32,2801000
2432,4.76837158203125e-07,307.9840720008177,32,2879000
2496,4.76837158203125e-07,309.56636862885136,32,2947000
2560,4.76837158203125e-07,318.5835730455357,32,3017000
2624,4.76837158203125e-07,331.05734864629426,32,3088000
2688,4.76837158203125e-07,343.4028725971154,32,3158000
2752,4.76837158203125e-07,343.73230549819675,32,3236000
2816,4.76837158203125e-07,343.7355233851027,32,3319000
2880,4.76837158203125e-07,344.0225283366244,32,3401000
2944,4.76837158203125e-07,344.17010435946054,32,3486000
3008,4.76837158203125e-07,348.70773442678177,32,3555000
3072,4.76837158203125e-07,352.1951199948141,32,3625000
3136,4.76837158203125e-07,356.15521289794685,32,3698000
3200,4.76837158203125e-07,359.06353564171025,32,3777000
3264,4.76837158203125e-07,359.34539005400086,32,3863000
3328,4.76837158203125e-07,359.3495642993719,32,3965000
3392,4.76837158203125e-07,360.93704943436325,32,4045000
3456,4.76837158203125e-07,360.9431087161264,32,4137000
3520,4.76837158203125e-07,361.4553271169561,32,4213000
3584,4.76837158203125e-07,361.4881303010115,32,4303000
3648,4.76837158203125e-07,361.496806926926,32,4393000
3712,4.76837158203125e-07,361.49680775507164,32,4510000
3776,4.76837158203125e-07,361.5117270284374,32,4599000
3840,4.76837158203125e-07,361.58081389135725,32,4686000
